ClientID;ClientName;Industry;Country
CLT001;Meridian Electronics Ltd;Electronics;UK
CLT002;Atlas Apparel Group;Textiles;Germany
CLT003;Crestwood Automotive Parts;Automotive;France
CLT004;Solaris Chemical Solutions;Chemicals;Netherlands
CLT005;Pinnacle Foods International;Food & Beverage;Spain
CLT006;Vortex Machinery Co.;Machinery;Italy
CLT007;BlueSky Pharmaceuticals;Pharmaceuticals;Belgium
CLT008;Ironclad Steel Works;Steel & Metals;Poland
CLT009;GreenLeaf Organics;Agriculture;Portugal
CLT010;Quantum Tech Imports;Technology;Sweden
